address,name,kind,comment
0x41A268,esstt_ksta,func,"VERIFIED-DYNAMIC (B8, issue #16). %ESSTT low-pressure start quantity. Early-out: if B_stend (0x7FE921) then ksta_adapted (0x80302C) = 0x400 = 1.0. Otherwise anztist(0x7FD269) = clamp(0x7FD298-0x7FD26B); 0x80302A = KFWKSTT(0x5C6C60; tmst,anztist) * KFKSTT(0x5C6E24; tmst,prist) >> 7; * KFWKSTN(0x5C6C46; tmst,nmot8) >> 8; * 0x7FD067 (Q7); * map 0x5D3739(tmst,0x800EEC) -> ksta 0x803028; 0x80302C = kstaa(0x7FD27B) * max(ksta,0x400) >> 7. u16 with 1024 = 1.0. Model + emulator check: emu/start_model.py, tests/test_start_model.py. re/findings/start.md section 3."
0x41A690,esstt_ksta_hdr,func,"VERIFIED-STATIC (B8, issue #16). High-pressure-start twin of esstt_ksta: same structure on KFKSTTHDR (0x5C6E66) and KFWKSTTHDR (0x5C6D40); shares KFWKSTN (0x5C6C50) and the 0x5D3745 weighting. Publishes the same 0x80302C at 0x41A808. Runs only while B_stend (0x7FE921) is clear. re/findings/start.md section 3."
0x419DA4,mixture_running_build,func,"VERIFIED-STATIC (B8, issue #16). Builds 0x803020 (Q12, 4096 = 1.0), the mixture factor gk_rk uses once the start has ended: 0x80301C from the sub-factors 0x7FD261/0x7FD263/0x7FD265/0x7FD266/0x7FD267 and 0x801CF7..0x801D06; 0x803022 = 0x80301C + 0x1000; 0x803020 = mul_q15(0x803026, (0x7FD264 * 0x803022) >> 7), stored at 0x41A250. Insertion point S2 of re/findings/start.md section 4.2."
0x431294,zwstt_build,func,"VERIFIED-DYNAMIC (B8, issue #16). Start ignition angle -> zwstt 0x802096 (s8, 0.75 deg CA per LSB), stb at 0x431384. Runs only while 0x7FECCA (= B_stend) is clear. KFZWSTT(0x5C7B64; zdgz 0x7FCE14, tmst) + KFZWSTN(0x5C7B23; nmot8, tmst), or the 0x5C7B40 map when 0x7FCE0C bit 1 is set, plus the 1D s8 term 0x5C7BAB over 0x7FD3E5. INSERTION POINT Z1 for a start-ignition ethanol offset. re/findings/start.md section 5."
0x4310C8,zwgru_10ms_driver,func,"VERIFIED-STATIC (B8, issue #16). 10 ms driver of the base ignition: sets 0x7FEA72 = (nmot8 < 0x5C76BE), recomputes zwgru_kfzw/zwgru_dzw here when the speed is above that threshold, and computes 0x7FD313 = KF(0x5C76D5; nmot8, efficiency 0x7FD271) -- the warm-up/torque-reserve ignition term that zwgru_build adds. re/findings/start.md section 5.1."
0x4362D4,zw_eta_offset,func,"VERIFIED-STATIC (B8, issue #16). Converts the torque coordinator's efficiency demand 0x803042 (u16, 4096 = 1.0) into the additive ignition angle 0x800004 (s8); exactly 0 when the demand is 1.0. Second half of the warm-up / catalyst-heating retard path. re/findings/start.md section 5.1."
0x442C18,eta_coordinator,func,"VERIFIED-STATIC (B8, issue #16). Torque-coordinator efficiency setpoints 0x803046 / 0x803044 (u16, 4096 = 1.0), their mean 0x803042 and 0x7FD271 = 0x803042 >> 5 (u8, 128 = 1.0). Default 0x1000 = 1.0 when 0x7FB69A bit 0 is clear. re/findings/start.md section 5.1."
0x4324DC,tmot_task,func,"VERIFIED-STATIC (B8, issue #16). Cyclic coolant-temperature conversion: every tenth call (counter 0x8021DC) tmot_w (0x802228) = lookup_1d_u16(curve 0x5D770E or the substitute 0x5D76BC, raw ADC 0x80345A) and tmot (0x8021EF) = tmot_w >> 8. re/findings/start.md section 1."
0x11AA28,tmot_init,func,"VERIFIED-STATIC (B8, issue #16). Init of the coolant-temperature module: ~20 calibration defaults into 0x8021xx / 0x8022xx plus the same tmot_w / tmot computation as tmot_task. re/findings/start.md section 1."
0x419CAC,start_flag_build,func,"VERIFIED-STATIC (B8, issue #16). B_st (0x7FE91D) = 0x7FEAD0 ? 0 : (0x7FE91F ? 1 : keep). re/findings/start.md section 4."
